,Unnamed: 0,Unnamed: 0.1,Name,Latitude,Longitude,Province/Territory_x,ID_NEW,Name2,,,,
258,258,1057,Abbotsford,49.03,-122.36,BC,YXX,Abbotsford Clearbrook,,,,
271,271,643,Agassiz,49.24,-121.76,BC,WZA,Agassiz,,,,
19,19,875,Aklavik,68.22,-135.01,NT,YKD,Aklavik,,,,
1147,1147,886,Akulivik,60.82,-78.15,QC,YKO,City Centre,,,,`
427,427,1682,Alert,82.5,-62.34,NU,WML,,,,,
88,88,1242,Alert Bay,50.58,-126.92,BC,YAL,,,,,
1145,1145,268,Algonquin Park East Gate,45.54,-78.26,ON,TNK,,,,,
878,878,823,Arviat,61.09,-94.07,NU,YEK,Arviat Eskimo Point ( -1989),,,,
720,720,462,Assiniboia,49.73,-105.95,SK,WJI,Assiniboia,,,,
999,999,773,Attawapiskat,52.93,-82.43,ON,YAT,Attawapiskat,,,,
1343,1343,897,Aupaluk,59.3,-69.6,QC,YLA,City Centre,,,,
1364,1364,45,Baie-Comeau,49.14,-68.2,QC,GBC,,,,,
1165,1165,839,Baie-James,51.63,-76.04,QC,YGL,La Grande Riviere Chisasibi,,,,
850,850,780,Baker Lake,64.3,-96.08,NU,YBK,Baker Lake,,,,
1156,1156,556,Bancroft,45.07,-77.88,ON,WRK,Bancroft,,,,
426,426,665,Barrhead,54.09,-114.45,AB,XBD,Barrhead,,,,
902,902,1765,Barrie,44.38,-79.69,ON,WCU,,,,,
696,696,70,Bathurst Inlet,66.84,-108.01,NU,NBI,,,,,
0,0,1053,Beaver Creek,62.41,-140.87,YT,YXQ,Beaver Creek,,,,
1508,1508,367,Beaver Island,57.4,-102.15,NS,WBY,Port Menier Port-Menier,,,,
106,106,289,Bella Coola,52.39,-126.59,BC,YBD,Bella Coola Hagensborg,,,,
910,910,1001,Big Trout Lake,53.82,-89.9,ON,YTL,Big Trout Lake,,,,
1579,1579,790,Blanc-Sablon,51.44,-57.19,QC,YBX,Blanc Sablon Lourdes-de-Blanc-Sablon,,,,
230,230,1256,Blue River,52.1,-119.3,BC,WSV,,,,,
1437,1437,5,Bouctouche,46.43,-64.77,NB,ABT,Buctouche Bouctouche,,,,
597,597,634,Bow Island,49.73,-111.45,AB,WXL,Bow Island,,,,
403,403,629,Bow Valley (Provincial Park),51.08,-115.07,AB,WXA,Bow Valley Seebe,,,,
792,792,114,Brandon,49.9,-99.95,MB,PBO,,,,,
428,428,524,Breton Plots,53.09,-114.44,AB,WOY,Wynward Wynyard,,,,
1192,1192,260,Brockville,44.63,-75.75,ON,TBO,Brockville,,,,
690,690,1029,Buffalo Narrows,55.84,-108.42,SK,YYT,St. John's St Johns Logy Bay-Middle Cove-Outer Cove,,,,
1088,1088,1780,Burlington,43.32,-79.79,ON,HDR,,,,,
444,444,125,Calgary,51.11,-114,AB,PCI,Calgary,,,,
735,735,793,Cambridge Bay,69.11,-105.14,NU,YCB,Cambridge Bay,,,,
128,128,782,Campbell River,49.95,-125.27,BC,YBL,Campbell River,,,,
445,445,1151,Camrose,53.01,-112.82,AB,WRV,,,,,
1183,1183,998,Cape Dorset,64.23,-76.52,NU,YTE,Cape Dorset,,,,
1625,1625,553,Cape Race,46.66,-53.08,NF,WRA,Cape Race Portugal Cove South,,,,
129,129,1272,Cape Scott,50.72,-128.35,BC,WES,,,,,
797,797,644,Carberry,49.91,-99.36,MB,WZE,Carberry,,,,
492,492,415,Cardston,49.2,-113.29,AB,WFJ,Cardston,,,,
956,956,372,Caribou Island,47.34,-85.83,ON,WCI,Caribou Island Grand Marais,,,,
1502,1502,361,Caribou Point,45.76,-62.68,NS,WBK,Caribou Point Pictou,,,,
15,15,676,Carmacks,62.12,-136.19,YT,XCK,Carmacks,,,,
353,353,797,Castlegar,49.3,-117.63,BC,YCG,Castlegar Ootischenia,,,,
1497,1497,1065,Charlottetown,46.29,-63.12,PEI,YYG,Charlottetown Brackley,,,,
904,904,806,Chesterfield Inlet,63.35,-90.73,NU,Y,Chesterfield Inlet Chesterfield,,,,
276,276,804,Chetwynd,55.69,-121.63,BC,YCQ,Chetwynd,,,,
1222,1222,46,Chibougamau-Chapais,49.78,-74.53,QC,GCH,,,,,
880,880,1440,Churchill,58.74,-94.07,MB,YCM,,,,,
1467,1467,14,Churchill Falls,53.56,-64.09,NF,AFL,,,,,
464,464,381,Claresholm,50,-113.64,AB,WDK,Claresholm,,,,
961,961,1697,Clyde River,70.47,-68.6,NU,WCY,,,,,
1148,1148,501,Cobourg,43.96,-78.15,ON,WNC,Cobourg,,,,
